AlphaUI ID, XBMC ID, English US, Japanese,
None,"31812""",Full Screen,フルスクリーン,
,,,,
None,"31813""",Controller Mouse,コントローラマウス,
,,,,
None,"31814""",Guide,ガイド,
,,,,
None,"31815""",Dpad Left,十字キーの左,
,,,,
None,"31816""",Dpad Right,十字キーの右,
,,,,
None,"31817""",Dpad Up,十字キーの上,
,,,,
None,"31818""",L3,L3,
,,,,
None,"31820""",Hotkey Combination [CR] LT + LB + RT + RB + Guide button,ホットキーの組み合わせ [CR] LT + LB + RT + RB + ガイドボタン,
,,,,
None,"31821""",Pressing LT + LB + RT + RB on the controller plus the Guide button [CR]will launch the Systems Menu.,コントローラの LT + LB + RT + RB とガイドボタン [CR] を押すとシステムメニューを起動します。,
,,,,
None,"31822""",Hotkey Combination [CR] LT + LB + RT + RB + Left or Right,ホットキーの組み合わせ [CR] LT + LB + RT + RB + 左または右,
,,,,
None,"31823""",Shift window focus using Dpad Left or Dpad Right.  This function [CR]can also be accessed via keyboard with Alt + Tab (Shift Right) [CR] or Shift + Alt + Tab (Shift Left).,十字キーのウィンドウのフォーカスを移動します。[CR]の機能  は、Alt + Tab（右 Shift）[CR] または Shift + Alt + Tab（左 Shift）でキーボード[CR]からでもアクセスできます。,
,,,,
None,"31824""",Hotkey Combination [CR]LT + LB + RT + RB + Dpad Up,ホットキーの組み合わせ [CR] LT + LB + RT + RB + 十字キーの上,
,,,,
None,"31825""",Hotkey Combination plus Dpad Up enables full screen mode. [CR]This function can also be accessed via keyboard with Alt + Enter.,ホットキーの組み合わせと十字キーの上でフルス[CR]リーンモードにできます。[CR] この機能は Alt + Enter でキーボードからでもアク[CR]スできます。,
,,,,
None,"31826""",Hotkey Combination [CR]LT + LB + RT + RB + L3,ホットキーの組み合わせ [CR] LT + LB + RT + RB + L3,
,,,,
None,"31827""","Hotkey Combination plus L3 pressed down, turns on the[CR]mouse driver. Pressing the Hotkey Combination again turns off[CR]the driver.",ホットキーの組み合わせとともに、L3 を押すと、[CR]マウス ドライバーがオンになります。 ホットキーの組み合わせをもう一度押すと、[CR]ドライバーはオフになります。,
,,,,
None,31615,"For an optimal gaming experience, please adjust your television's picture setting to properly fit the Alpha's video output.\n\nTo do this you will need to use your television's remote control.",最適なゲーミング エクスペリエンスのためには、ご使用のテレビの画像設定を調整して Alpha のビデオ出力が正しく表示されるようにしてください。,
,,,,
None,31764,"In order to activate HDMI In, plug in HDMI cable.",HDMI In を有効にするには、HDMI ケーブルのプラグを差し込みます。,
,,,,
None,31766,"To return to Alpha UI from HDMI In, select the Guide Menu.",HDMI In から Alpha UI に戻るには、Guide Menu を選択します。,
,,,,
None,31828,System software update failed. Shutdown console in order to begin software update.,システム ソフトウェアの更新に失敗しました。コンソールをシャットダウンしてソフトウェアの更新を開始します。,
,,,,
None,31829,New update available - shut down console to begin download,新しい更新プログラムを入手できます - コンソールをシャットダウンしてダウンロードを開始する,
,,,,
None,31840,Connect mouse to enable desktop mode,マウスを接続してデスクトップ モードを有効にする,
,,,,
None,31841,INITIALIZING STEAM,スチームを初期化,
,,,,
